rowNumber,timestamp,handle,productTitle,field,original,updated,reason,severity,phase
2,26/09/2025,novooo-dreiflugelmappe-a4-pressspan-mit-gummizug,NOVOOO Dreiflügelmappe A4 Pressspan mit Gummizug,Body (HTML),(modified),(see Output),Body normalized + closing line enforced,info,3b
2,26/09/2025,novooo-dreiflugelmappe-a4-pressspan-mit-gummizug,NOVOOO Dreiflügelmappe A4 Pressspan mit Gummizug,SEO Title,,NOVOOO Dreiflügelmappe A4 Pressspan mit Gummizug | Bastelsch,SEO title standardized per SOP,info,3c
2,26/09/2025,novooo-dreiflugelmappe-a4-pressspan-mit-gummizug,NOVOOO Dreiflügelmappe A4 Pressspan mit Gummizug,SEO Description,,Für kreative Projekte und saubere Ergebnisse. Jetzt bei Bastelschachtel entdecken. Robust und vielseitig einsetzbar.,SEO description standardized per SOP,info,3c
2,26/09/2025,novooo-dreiflugelmappe-a4-pressspan-mit-gummizug,NOVOOO Dreiflügelmappe A4 Pressspan mit Gummizug,Variant SKU,,NOV-NOVO-8FGG,Generated per SOP,info,3d
2,26/09/2025,novooo-dreiflugelmappe-a4-pressspan-mit-gummizug,NOVOOO Dreiflügelmappe A4 Pressspan mit Gummizug,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category),warn,4
2,26/09/2025,novooo-dreiflugelmappe-a4-pressspan-mit-gummizug,NOVOOO Dreiflügelmappe A4 Pressspan mit Gummizug,Google Shopping / Condition,,new,Condition set to new,info,4
2,26/09/2025,novooo-dreiflugelmappe-a4-pressspan-mit-gummizug,NOVOOO Dreiflügelmappe A4 Pressspan mit Gummizug,SEO Description,,,SEO desc length 116,warn,4
2,26/09/2025,novooo-dreiflugelmappe-a4-pressspan-mit-gummizug,NOVOOO Dreiflügelmappe A4 Pressspan mit Gummizug,Google Shopping / Google Product Category,,,Missing google category,warn,4
3,26/09/2025,novooo-dreiflugelmappe-a4-pressspan-mit-gummizug,,Vendor,,Bastelschachtel,"Defaulted to Bastelschachtel, unknown vendor",info,2
3,26/09/2025,novooo-dreiflugelmappe-a4-pressspan-mit-gummizug,,Body (HTML),(modified),(see Output),Body normalized + closing line enforced,info,3b
3,26/09/2025,novooo-dreiflugelmappe-a4-pressspan-mit-gummizug,,SEO Title,, | Bastelschachtel,SEO title standardized per SOP,info,3c
